LLPerWijk_Jaar,LLPerWijk_Brin,LLPerWijk_WijkNr,LLPerWijk_Onderbouw,LLPerWijk_Bovenbouw,LLPerWijk_Totaal,LLPerWijk_InvoerWie,LLPerWijk_InvoerWanneer
2005,15SJ00,209,4,0,4,eneheuvel,26-09-11
2005,15SJ00,210,6,0,6,eneheuvel,26-09-11
2005,15SJ00,211,4,0,4,eneheuvel,26-09-11
2005,15SJ00,212,4,0,4,eneheuvel,26-09-11
2005,15SJ00,214,1,0,1,eneheuvel,26-09-11
2005,15SJ00,302,2,0,2,eneheuvel,26-09-11
2005,15SJ00,303,2,0,2,eneheuvel,26-09-11
2005,15SJ00,304,1,0,1,eneheuvel,26-09-11
2005,15SJ00,305,2,0,2,eneheuvel,26-09-11
2005,15SJ00,307,1,0,1,eneheuvel,26-09-11
2005,15ZL00,105,0,1,1,eneheuvel,26-09-11
2005,15ZL00,202,0,2,2,eneheuvel,26-09-11
2005,15ZL00,205,1,0,1,eneheuvel,26-09-11
2005,15ZL00,206,2,3,5,eneheuvel,26-09-11
2005,15ZL00,207,1,5,6,eneheuvel,26-09-11
2005,15ZL00,208,1,3,4,eneheuvel,26-09-11
2005,15ZL00,210,0,1,1,eneheuvel,26-09-11
2005,15ZL00,211,2,0,2,eneheuvel,26-09-11
2005,15ZL00,215,0,1,1,eneheuvel,26-09-11
2005,15ZL00,302,1,5,6,eneheuvel,26-09-11
2005,15ZL00,303,4,7,11,eneheuvel,26-09-11
2005,15ZL00,304,2,4,6,eneheuvel,26-09-11
2005,15ZL00,305,47,46,93,eneheuvel,26-09-11
2005,15ZL00,306,10,19,29,eneheuvel,26-09-11
2005,15ZL00,307,1,4,5,eneheuvel,26-09-11
2005,15ZL00,308,4,0,4,eneheuvel,26-09-11
2005,15ZL00,309,7,8,15,eneheuvel,26-09-11
2005,15ZL00,311,2,0,2,eneheuvel,26-09-11
2005,15ZL00,312,1,1,2,eneheuvel,26-09-11
2005,15ZL00,9999,0,2,2,eneheuvel,26-09-11
2005,15ZL01,106,1,0,1,eneheuvel,26-09-11
2005,15ZL01,202,2,1,3,eneheuvel,26-09-11
