DatumExport;BrinVest;EsisIdentificatienummer;Vormingsgebied;Toets;Toetsversie;Schooljaar;Afnamedatum;Leerjaar;Afnamemoment;DL;Ruwescore;Vaardigheidsscore;DLE;AE;IV;Norm
03-04-2013;13NU00;135946421;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;10;;50;;;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;81;70;23;E;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;249;82;35;D;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;86;85;37;D;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;82;90;46;C;IV;
03-04-2013;13NU00;135946442;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;109;95;49;B;III;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;301;100;;B;II;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;108;106;;B;II;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;84;92;47;C;IV;
03-04-2013;13NU00;135946444;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946444;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;99;105;;A;II;
03-04-2013;13NU00;135946449;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;87;76;28;D;V;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;260;86;38;D;IV;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;85;84;36;D;V;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;68;78;30;E;V;
03-04-2013;13NU00;135946515;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M6 - Totaal;2012-2013;01-02-2013;8;M6;56;52;76;31;C;IV;
