School_Brin,SchoolGeg_SchoolNaam,OnderwijsType_Type,Vestiging_Adres,Vestiging_Postcode,SchoolGeg_Bestuur_ID,SchoolGeg_OnderwConcept_ID,Vestiging_X_COORD,Vestiging_Y_COORD,School_OpheffingsDatum
24RW00,Oostvaarders College,Regulier,A. Boekenweg 3,1333 VD,10,1,146692.68,489735.54,31-07-99
24RW03,Buitenhout College,Regulier,Ambonstraat 2,1335 JV,10,1,149321.42,490643.98,31-07-99
24RW04,Montessori Lyceum,Regulier,Ambonstraat 4,1335 JV,10,4,,,31-07-99
29UN00,Leren met Plezier,Regulier,E F van den Banweg 25,1333 JA,8,1,146598.55,489932.07,31-07-99
29XT00,Montessorischool Poort,Regulier,Slowakijehof 1,1363 BD,18,4,139058.93,484410.17,31-07-99
25GV12,Groenhorst College AOC,Regulier,Heliumweg 1,1362 JA,11,1,139390.79,484651.13,31-07-99
27VD00,Groenhorst College,Regulier,Heliumweg 1,1362 JA,11,1,139390.79,484651.13,31-07-99
01FP00,Baken Stad,Regulier,Rooseveltweg 5,1314 SJ,1,1,143688.15,487727.89,31-07-99
01FP01,Baken Park,Regulier,Bunuellaan 4,1325 PL,1,1,145119.17,486209.4,31-07-99
01FP02,Internat. School,Regulier,Sas van Gentlaan 6,1324 CT,1,1,141916.9,485530.22,31-07-99
01FP04,Baken Trinitas,Regulier,Sas van Gentlaan 6,1324 CT,1,1,141916.9,485530.22,31-07-99
01FP05,Baken Poort,Regulier,Nederlandhof 5,1363 DC,1,1,138680.39,484413.94,31-07-99
04EM42,ROC ASA,Regulier,Filipijnenstraat 10,1339 NA,1,1,149256.36,489801.75,31-07-99
06RM00,Vrijeschool Raphaël Almere,Regulier,Lierstraat 7,1312 JZ,2,5,141853.73,487068.58,31-07-99
14QC00,Montessorischool Stad,Regulier,Randstad 22-113b,1316 BW,5,4,144171.64,487997.93,31-07-99
14QC02,Montessori Muziekwijk,Regulier,Contrabasweg 38,1312 LL,5,4,141433.89,487044.01,31-07-99
16AW00,Echnaton,Regulier,Zwolleweg 1,1324 EL,5,1,143119.07,486610.67,31-07-99
16AW01,Helen Parkhurst,Regulier,Bongerdstraat 1,1326 AA,5,1,144705.25,487502.36,31-07-99
