ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
10,AVO Breed,Basisbg,1,AVO Algemeen Leerjaar,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
11,HAVO/VMBO-Th/Gm,,3.5,Ljvb op HAVO/VMBO-Th/Gm Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
12,VMBO-Gm,,3,Ljvb op VMBO-Gm Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
13,VMBO-Th/Gm,,3,Ljvb op VMBO-Th/Gm Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
15,VWO/HAVO,,4.5,Ljvb op VWO/HAVO,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
16,VWO/HAVO/VMBO-Th/Gm,,3.5,Ljvb op VWO/HAVO/VMBO-Th/Gm Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
17,VWO,,5,Ljvb op VWO,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
21,VMBO Br.,Basisbg,1,AVO & VBO Algemeen Leerjaar,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
22,HAVO/VMBO-Alle,,3.5,Ljvb op HAVO/VMBO-Alle Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
23,VMBO-Alle,,2.5,Ljvb op VMBO-Alle Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
24,VWO/HAVO/VMBO-Alle,,3.5,Ljvb op VWO/HAVO/VMBO-Alle Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
30,VMBO Br.,Basisbg,1,VBO Algemeen Leerjaar,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
31,VMBO-BBg,,1,Ljvb op VMBO-BBg Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
32,VMBO-Kbg,,2,Ljvb op VMBO-Kbg Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
33,VMBO-Bbg/Kbg,,1.5,Ljvb op VMBO-Bbg/Kbg Lw,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
35,VMBO Breed LWOO,Basisbg,1,LWOO Algemeen Leerjaar,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
41,Leerjaar LWOO Voorbereidend op Basisberoepsgerichte Leerweg,,1,Lj LWOO vb op Bbg Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
42,Leerjaar LWOO Voorbereidend op Gemengde Leerweg,,3,Lj LWOO vb op Gm Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
43,Leerjaar LWOO Voorbereidend op Kaderberoepsgerichte Leerweg,,2,Lj LWOO vb op Kbg Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
44,Leerjaar LWOO Voorbereidend op Theoretisch- / Gemengde Leerweg,,3,Lj LWOO vb op Th/Gm Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
45,Leerjaar LWOO Voorberop Bb- / Kbgerichte Leerweg,,1.5,Lj LWOO vb op Bbg/Kbg Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
46,Leerjaar LWOO Voorbereidend op Alle Leerwegen,,2,Lj LWOO vb op Alle Lw,Brugjaar 1-2,J,N.v.t.,N.v.t.,6.18,,1.66
90,Praktijkonderwijs,,0.5,Praktijkonderwijs,Praktijkonderwijs alle vj,N,N.v.t.,N.v.t.,4.41,7.72,1.99
100,VWO-ATHENEUMSTROOM,,5,VWO-ATHENEUMSTROOM,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
150,VWO,ATH,5,VWO-ATH Prf Nat/Tech (oud),VWO lj 4-6,N,N.v.t.,Natuur en Techniek,5.85,,0.78
151,VWO-ATH,,5,VWO-ATH Prf Nat/Gezond (oud),VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
152,VWO-ATH,,5,VWO-ATH Prf Ec/Maat (oud),VWO lj 4-6,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
153,VWO-ATH,,5,VWO-ATH Prf Cul/Maat (oud),VWO lj 4-6,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
154,VWO-ATH,,5,VWO-ATH Prf Nat/Tech & Nat/Gezond (oud),VWO lj 4-6,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
155,VWO-ATH,,5,,,,,,,,
156,VWO-ATH,,5,,,,,,,,
157,VWO-ATH,,5,,,,,,,,
158,VWO-ATH,,5,,,,,,,,
159,VWO-ATH,,5,VWO-ATH Prf Ec/Maat & Cul/Maat (oud),VWO lj 4-6,N,N.v.t.,Economie en Maatschappij / Cultuur en Maatschappij,5.85,,0.78
170,VWO-ATH,,5,VWO-ATH Prf Nat/Tech,VWO lj 4-6,N,N.v.t.,Natuur en Techniek,5.85,,0.78
171,VWO-ATH,,5,VWO-ATH Prf Nat/Gezond,VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
172,VWO-ATH,,5,VWO-ATH Prf Ec/Maat,VWO lj 4-6,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
173,VWO-ATH,,5,VWO-ATH Prf Cul/Maat,VWO lj 4-6,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
174,VWO-ATH,,5,VWO-ATH Prf Nat/Tech & Nat/Gezond,VWO lj 4-6,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
175,VWO-ATH,,5,,,,,,,,
176,VWO-ATH,,5,,,,,,,,
177,VWO-ATH,,5,VWO-ATH Prf Nat/Gezond & Cul/Maat,VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid / Cultuur en Maatschappij,5.85,,0.78
178,VWO-ATH,,5,VWO-ATH Prf Nat/Gezond & Ec/Maat,VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid / Economie en Maatschappij,5.85,,0.78
179,VWO-ATH,,5,VWO-ATH Prf Ec/Maat & Cul/Maat,VWO lj 4-6,N,N.v.t.,Economie en Maatschappij / Cultuur en Maatschappij,5.85,,0.78
200,VWO-GYMNASIUMSTROOM,,5,VWO-GYMNASIUMSTROOM,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
250,VWO-GYM,,5,VWO-GYM Prf Nat/Tech (oud),VWO lj 4-6,N,N.v.t.,Natuur en Techniek,5.85,,0.78
251,VWO-GYM,,5,VWO-GYM Prf Nat/Gezond (oud),VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
252,VWO-GYM,,5,VWO-GYM Prf Ec/Maat (oud),VWO lj 4-6,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
253,VWO-GYM,,5,VWO-GYM Prf Cul/Maat (oud),VWO lj 4-6,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
254,VWO-GYM,,5,VWO-GYM Prf Nat/Tech & Nat/Gezond (oud),VWO lj 4-6,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
255,VWO-GYM,,5,,,,,,,,
256,VWO-GYM,,5,,,,,,,,
257,VWO-GYM,,5,,,,,,,,
258,VWO-GYM,,5,,,,,,,,
259,VWO-GYM,,5,VWO-GYM Prf Ec/Maat & Cul/Maat (oud),VWO lj 4-6,N,N.v.t.,Economie en Maatschappij / Cultuur en Maatschappij,5.85,,0.78
270,VWO-GYM,,5,VWO-GYM Prf Nat/Tech,VWO lj 4-6,N,N.v.t.,Natuur en Techniek,5.85,,0.78
271,VWO-GYM,,5,VWO-GYM Prf Nat/Gezond,VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
272,VWO-GYM,,5,VWO-GYM Prf Ec/Maat,VWO lj 4-6,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
273,VWO-GYM,,5,VWO-GYM Prf Cul/Maat,VWO lj 4-6,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
274,VWO-GYM,,5,VWO-GYM Prf Nat/Tech & Nat/Gezond,VWO lj 4-6,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
275,VWO-GYM,,5,VWO-GYM Prf Nat/Tech & Ec/Maat,VWO lj 4-6,N,N.v.t.,N.v.t.,5.85,,0.78
276,VWO-GYM,,5,,,,,,,,
277,VWO-GYM,,5,,,,,,,,
278,VWO-GYM,,5,VWO-GYM Prf Nat/Gezond & Ec/Maat,VWO lj 4-6,N,N.v.t.,Natuur en Gezondheid / Economie en Maatschappij,5.85,,0.78
279,VWO-GYM,,5,VWO-GYM Prf Ec/Maat & Cul/Maat,VWO lj 4-6,N,N.v.t.,Economie en Maatschappij / Cultuur en Maatschappij,5.85,,0.78
300,HAVO,,4,HAVO,Brugjaar 1-2,N,N.v.t.,N.v.t.,6.18,,1.66
350,HAVO,,4,HAVO Prf Nat/Tech (oud),HAVO lj 4-5,N,N.v.t.,Natuur en Techniek,5.85,,0.78
351,HAVO,,4,HAVO Prf Nat/Gezond (oud),HAVO lj 4-5,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
352,HAVO,,4,HAVO Prf Ec/Maat (oud),HAVO lj 4-5,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
353,HAVO,,4,HAVO Prf Cul/Maat (oud),HAVO lj 4-5,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
354,HAVO,,4,HAVO Prf Nat/Tech & Nat/Gezond (oud),HAVO lj 4-5,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
355,HAVO,,4,,,,,,,,
356,HAVO,,4,,,,,,,,
357,HAVO,,4,,,,,,,,
358,HAVO,,4,,,,,,,,
359,HAVO,,4,HAVO Prf Ec/Maat & Cul/Maat (oud),HAVO lj 4-5,N,N.v.t.,Economie en Maatschappij / Cultuur en Maatschappij,5.85,,0.78
370,HAVO,,4,HAVO Prf Nat/Tech,HAVO lj 4-5,N,N.v.t.,Natuur en Techniek,5.85,,0.78
371,HAVO,,4,HAVO Prf Nat/Gezond,HAVO lj 4-5,N,N.v.t.,Natuur en Gezondheid,5.85,,0.78
372,HAVO,,4,HAVO Prf Ec/Maat,HAVO lj 4-5,N,N.v.t.,Economie en Maatschappij,5.85,,0.78
373,HAVO,,4,HAVO Prf Cul/Maat,HAVO lj 4-5,N,N.v.t.,Cultuur en Maatschappij,5.85,,0.78
374,HAVO,,4,HAVO Prf Nat/Tech & Nat/Gezond,HAVO lj 4-5,N,N.v.t.,Natuur en Techniek / Natuur en Gezondheid,5.85,,0.78
375,HAVO,,4,,,,,,,,
376,HAVO,,4,HAVO Prf Nat/Tech & Cul/Maat,HAVO lj 4-5,N,N.v.t.,Natuur en Techniek / Cultuur en Maatschappij,5.85,,0.78
377,HAVO,,4,,,,,,,,
