Postc_Postcode,Postc_PostcodeCompact,Postc_WijkNr,Postc_X_COORD,Postc_Y_COORD
1311 LD,1311LD,212,140923.37,486945.02
1311 LE,1311LE,212,140946.07,487109.53
1311 LG,1311LG,212,140882.14,487107.76
1311 LH,1311LH,212,140855.03,487021.6
1311 LJ,1311LJ,212,140809.33,487079.56
1311 LK,1311LK,212,140801.3,487143.57
1311 LL,1311LL,212,140788.29,487217.83
1311 LM,1311LM,212,140749.4,487204.61
1311 LN,1311LN,212,140682.79,487207.06
1311 LP,1311LP,212,140726.77,487217.91
1311 LR,1311LR,212,140659.63,487216.84
1311 LS,1311LS,212,140627.6,487231
1311 LT,1311LT,212,140608.52,487250.2
1311 LV,1311LV,212,140699.5,487136.97
1311 LW,1311LW,212,140955.8,486960.24
1311 LX,1311LX,212,140934.51,486988.16
1311 LZ,1311LZ,212,141001.21,487072.37
1311 PA,1311PA,212,141051.29,486788.78
1311 PB,1311PB,212,141144.47,486793.67
1311 PC,1311PC,212,140969.39,486693.34
1311 PD,1311PD,212,141001.26,486798.32
1311 PE,1311PE,212,140932.32,486553.76
1311 PG,1311PG,212,140976.19,486451.94
1311 PH,1311PH,212,141022.1,486538.78
1311 PJ,1311PJ,212,140955.52,486547.6
1311 PK,1311PK,212,141149.16,486820.47
1311 PL,1311PL,212,141055.62,486852.45
1311 PN,1311PN,212,141037.68,486643.2
1311 PP,1311PP,212,141100.71,486651.69
1311 PR,1311PR,212,140989.19,486673.32
1311 PT,1311PT,212,141128.87,486656.07
1311 PV,1311PV,212,141156.99,486744.51
1311 PX,1311PX,212,141175.52,486640.16
1311 RA,1311RA,212,141197,486709.35
1311 RB,1311RB,212,141210,486747.47
1311 RC,1311RC,212,141267.68,486718.73
1311 RD,1311RD,212,141256.33,486783.8
1311 RE,1311RE,212,141234.42,486723.79
1311 RG,1311RG,212,141300.3,486702.98
1311 RH,1311RH,212,141329.1,486693.84
1311 RJ,1311RJ,212,141375.88,486673.46
1311 RK,1311RK,212,141214.18,486404.54
1311 RL,1311RL,212,141344.5,486556.76
1311 RM,1311RM,212,141355.12,486749.16
1311 RN,1311RN,212,141220.2,486644.52
1311 RP,1311RP,212,141055.49,486699.63
1311 RR,1311RR,212,141403.96,486722.28
1311 RS,1311RS,212,141307.75,486662.58
1311 RT,1311RT,212,141234.61,486688.93
1311 RV,1311RV,212,141033.92,486757.14
1311 RW,1311RW,212,140684.3,486853.42
1311 RX,1311RX,212,141279.3,486627.76
1311 SB,1311SB,212,141293.79,486605.4
1311 SC,1311SC,212,141188.5,486577.12
1311 SE,1311SE,212,141212.76,486613.82
1311 SH,1311SH,212,141088.32,486506.37
1311 SJ,1311SJ,212,141145.85,486507
1311 SK,1311SK,212,141131.91,486504.62
1311 SM,1311SM,212,141017.17,486583.32
1311 XA,1311XA,273,140488.77,486333.98
1311 XB,1311XB,273,140358.57,486169.96
1311 XC,1311XC,273,140720.62,486368.47
