PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
21ND00,2011,2011,191,eneheuvel,23-09-11
21ND00,2011,2016,167,eneheuvel,23-09-11
21ND00,2011,2017,163,eneheuvel,23-09-11
21ND00,2011,2018,160,eneheuvel,23-09-11
21ND00,2011,2019,161,eneheuvel,23-09-11
21ND00,2011,2020,162,eneheuvel,23-09-11
21ND00,2011,2025,161,eneheuvel,23-09-11
21ND00,2011,2030,161,eneheuvel,23-09-11
21ND00,2011,2035,160,eneheuvel,23-09-11
21ND00,2011,2012,182,eneheuvel,23-09-11
21ND00,2011,2013,173,eneheuvel,23-09-11
21ND00,2011,2014,173,eneheuvel,23-09-11
21ND00,2011,2015,169,eneheuvel,23-09-11
22KP00,2010,2010,388,eneheuvel,23-09-11
22KP00,2011,2011,406,eneheuvel,23-09-11
22KP00,2011,2016,352,eneheuvel,23-09-11
22KP00,2011,2017,338,eneheuvel,23-09-11
22KP00,2011,2018,324,eneheuvel,23-09-11
22KP00,2011,2019,327,eneheuvel,23-09-11
22KP00,2011,2020,332,eneheuvel,23-09-11
22KP00,2011,2025,332,eneheuvel,23-09-11
22KP00,2011,2030,333,eneheuvel,23-09-11
22KP00,2011,2035,332,eneheuvel,23-09-11
22KP00,2011,2012,405,eneheuvel,23-09-11
22KP00,2011,2013,400,eneheuvel,23-09-11
22KP00,2011,2014,388,eneheuvel,23-09-11
22KP00,2011,2015,373,eneheuvel,23-09-11
22KQ00,2010,2010,147,eneheuvel,23-09-11
23ER00,2010,2010,154,eneheuvel,23-09-11
23ER00,2011,2011,123,eneheuvel,23-09-11
23ER00,2011,2016,115,eneheuvel,23-09-11
23ER00,2011,2017,119,eneheuvel,23-09-11
23ER00,2011,2018,124,eneheuvel,23-09-11
23ER00,2011,2019,125,eneheuvel,23-09-11
23ER00,2011,2020,125,eneheuvel,23-09-11
23ER00,2011,2025,127,eneheuvel,23-09-11
23ER00,2011,2030,129,eneheuvel,23-09-11
