LLPerWijk_ID,LLPerWijk_Jaar,LLPerWijk_Brin,LLPerWijk_WijkNr,LLPerWijk_Onderbouw,LLPerWijk_Bovenbouw,LLPerWijk_Totaal,LLPerWijk_InvoerWie,LLPerWijk_InvoerWanneer
200506RM00102,2005,06RM00,102,4,0,4,eneheuvel,26-09-11
200506RM00103,2005,06RM00,103,2,1,3,eneheuvel,26-09-11
200506RM00105,2005,06RM00,105,2,3,5,eneheuvel,26-09-11
200506RM00106,2005,06RM00,106,1,1,2,eneheuvel,26-09-11
200506RM00108,2005,06RM00,108,4,1,5,eneheuvel,26-09-11
200506RM00109,2005,06RM00,109,0,2,2,eneheuvel,26-09-11
200506RM00202,2005,06RM00,202,6,11,17,eneheuvel,26-09-11
200506RM00206,2005,06RM00,206,4,5,9,eneheuvel,26-09-11
200506RM00207,2005,06RM00,207,3,1,4,eneheuvel,26-09-11
200506RM00208,2005,06RM00,208,2,4,6,eneheuvel,26-09-11
200506RM00210,2005,06RM00,210,5,3,8,eneheuvel,26-09-11
200506RM00211,2005,06RM00,211,5,7,12,eneheuvel,26-09-11
200506RM00212,2005,06RM00,212,37,21,58,eneheuvel,26-09-11
200506RM00213,2005,06RM00,213,10,7,17,eneheuvel,26-09-11
200506RM00214,2005,06RM00,214,17,10,27,eneheuvel,26-09-11
200506RM00215,2005,06RM00,215,4,2,6,eneheuvel,26-09-11
200506RM00216,2005,06RM00,216,1,0,1,eneheuvel,26-09-11
200506RM00302,2005,06RM00,302,4,5,9,eneheuvel,26-09-11
200506RM00303,2005,06RM00,303,5,4,9,eneheuvel,26-09-11
200506RM00304,2005,06RM00,304,1,1,2,eneheuvel,26-09-11
200506RM00306,2005,06RM00,306,1,1,2,eneheuvel,26-09-11
200506RM00307,2005,06RM00,307,1,0,1,eneheuvel,26-09-11
200506RM00309,2005,06RM00,309,4,3,7,eneheuvel,26-09-11
200506RM00311,2005,06RM00,311,2,2,4,eneheuvel,26-09-11
200506RM00312,2005,06RM00,312,1,1,2,eneheuvel,26-09-11
200506RM00502,2005,06RM00,502,4,3,7,eneheuvel,26-09-11
200506RM009999,2005,06RM00,9999,9,7,16,eneheuvel,26-09-11
200512HU00103,2005,12HU00,103,1,0,1,eneheuvel,26-09-11
200512HU00104,2005,12HU00,104,0,1,1,eneheuvel,26-09-11
200512HU00106,2005,12HU00,106,0,1,1,eneheuvel,26-09-11
200512HU00201,2005,12HU00,201,4,10,14,eneheuvel,26-09-11
200512HU00202,2005,12HU00,202,1,2,3,eneheuvel,26-09-11
200512HU00203,2005,12HU00,203,1,0,1,eneheuvel,26-09-11
200512HU00204,2005,12HU00,204,1,2,3,eneheuvel,26-09-11
200512HU00205,2005,12HU00,205,1,0,1,eneheuvel,26-09-11
200512HU00206,2005,12HU00,206,1,3,4,eneheuvel,26-09-11
200512HU00209,2005,12HU00,209,1,3,4,eneheuvel,26-09-11
200512HU00210,2005,12HU00,210,3,2,5,eneheuvel,26-09-11
200512HU00211,2005,12HU00,211,56,46,102,eneheuvel,26-09-11
200512HU00212,2005,12HU00,212,1,1,2,eneheuvel,26-09-11
200512HU00213,2005,12HU00,213,1,2,3,eneheuvel,26-09-11
200512HU00214,2005,12HU00,214,1,0,1,eneheuvel,26-09-11
